"Id","ObjectId","Territory2Id","AssociationCause","KeyPrefix","IsDeleted","LastModifiedDate","LastModifiedById","SystemModstamp"
"0JB8a00000FGNhaGAH","0018a000024zxXxAAI","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNhbGAH","0018a000024zxXyAAI","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNhcGAH","0018a000024zxXzAAI","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNhdGAH","0018a000024zxY0AAI","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNheGAH","0018a000024zxY1AAI","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNhfGAH","0018a000024zxY2AAI","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNhgGAH","0018a000024zxY3AAI","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNhhGAH","0018a000024zxY4AAI","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNhiGAH","0018a000024zxY5AAI","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNhjGAH","0018a000024zxY6AAI","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNhkGAH","0018a000024zxY7AAI","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNhlGAH","0018a000024zxY8AAI","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
